CASE7;S1A;NARRADOR;A műtéti csapat minden tagja a helyén van, az operatőr sikeresen befejezte a gyomor átvágását, így eljött a pillanat, hogy megkezdjük az oldal-az-oldalhoz történő jejunojejunális anasztomózis elkészítését. Ebben a pillanatban az operatőr egy 45 mm-es arany tárral ellátott sebészi varrógépet kér, és a műtősnő és vezető műtősnő is most észlelte, hogy nem maradt egy sem.;
CASE7;D1A.1;Surgeon;Kérem adjon egy 45 mm-es arany tárú varrógépet.;
CASE7;D1A.2;Instrumentalist;Elnézést kérek, de nincs itt varrógép.;
CASE7;D1A.3;Circulating nurse;Kimegyek a raktárba és leellenőrzöm, hogy van -e esetleg ott.;
CASE7;D1A.1.1;Main surgeon;Nos, ezt a váratlan helyzetet kell megoldanunk.;
CASE7;D1A.1.1.1;Circulating nurse;Elnézést kérek, de nincs egyetlen darab sem. Ahhoz, hogy szerezzünk egyet fel kell hívnunk a legközelebbi kórházat.;
CASE7;D1A.1.2;Main surgeon;Hogy lehet az? Nem tudod, hogy kell végezni a munkádat?;
CASE7;D1A.1.3;Main surgeon;Ugyan már! Most még ezt a problémát is meg kell oldanom, mintha nem lenne elég a beteg ellátása...;
CASE7;D1A.1.4;Main surgeon;Ez hihetetlen! Nem lehet ezzel a csapattal dolgozni!;
CASE7;D1B;Instrumentalist;Soha ne beszéljen velünk így! Lehet, hogy Ön a sebész, de ez nem jogosítja fel arra, hogy így beszéljen velünk.;
CASE7;"D1B.1	";Main surgeon;Igen, ez igaz, de ez nem először fordul elő.  Mielőtt elkezdődik a következő beavatkozás győződjön meg arról, hogy minden anyag rendelkezésre áll.;
CASE7;D1B.1.1;Instrumentalist;Igaza van, de rosszul azonosítottuk a hivatkozási számot.;
CASE7;D1B.1.2;Circulating nurse;Sajnálom, de nincs ilyen. Ahhoz, hogy kapjunk egyet, fel kell hívnunk a legközelebbi kórházat.;
CASE7;D1B.2;Main surgeon;Igaza van, elvesztettem a fejem, de ez nem először fordul elő. Meg kell győződnie arról, hogy minden anyag rendelkezésre áll, mielőtt elkezdődik az eljárás.;
CASE7;D1B.2.1;Instrumentalist;Mostantól kétszer is ellenőrizni fogjuk.;
CASE7;D1B.3;Main surgeon;Nos, ez az Ön véleménye…;
CASE7;D1B.4;main surgeon;Lehet, hogy igaza van, de ez az én műtőm, és nincs rá mód, hogy most folytatni tudjuk!;
CASE7;D1B.4.2;main surgeon;Hívjon azonnal, és szerezzen be egy sebészi varrógépet minél hamarabb!;
CASE7;D2;Instrumentalist;Mi a következő lépés? Tudjuk folytatni, vagy kérjünk varrógépet egy másik kórházból?;
CASE7;D2.1;main surgeon;Folytassuk, egy fekete extra vastagot fogok használni.;
CASE7;D2.2;main surgeon;Folytassuk laparoszkóposan, kézi varrattal folytatom.;
CASE7;D2.3;main surgeon;Folytassuk, térjünk át a nyílt műtétre, és folytassuk a kézi varrattechnikával.;
CASE7;D2.4;main surgeon;Kizárt, hogy folytatni tudjuk! Hívjon azonnal, és szerezze be minél hamarabb a varrógépet!;
CASE7;D3;Instrumentalist;Rendben. De, akkor is telefonáljak a varrógép miatt?;
CASE7;D3.1;main surgeon;Nem hallott engem? Folytatjuk! ;
CASE7;D3.2;main surgeon;Jó válasz. Kérjük, hívjon és hozzon varrógépet, addig minden esetre folytatjuk.;
CASE7;D3.3;main surgeon;Miért kérdőjelezi meg a döntéseimet? Én döntök! ;
CASE7;D3.4;main surgeon;Mért?;
CASE7;D3.4.1;Instrumentalist;Azt hiszem, nincs vesztenivalónk, ha megkérjük őket, hátha később valóban szükségünk lesz rájuk. ;
CASE7;D3.4.2;main surgeon;Nos, ez jól hangzik. Kérem, hívja. ;
CASE7;D4A;anaesthesiologist;Csak azt tudom mondani, hogy az óra ketyeg, és nem várhatunk tovább, mert a beteg veszélyben lehet. ;
CASE7;D4A.1;main surgeon;Már eldöntöttem, és folytatni fogjuk. Kérjük, fogadja el és figyelje a beteget. ;
CASE7;D4A.1.1;Circulating nurse;Ez egy csapatmunka, és itt mindannyiunknak van szerepe. ;
CASE7;D4A.2;main surgeon;Ez igaz, de én döntöttem. ;
CASE7;D4A.3;main surgeon;Persze mindent megteszek, hogy minél előbb befejezzem. ;
CASE7;D4A.4;main surgeon;Ne aggódjon, tudom, hogyan kell elvégezni a munkámat, és hamarosan befejezzük. ;
CASE7;D4A.4.1;anaesthesiologist;Remélem…;
CASE7;D4B.1;main surgeon;Persze mindent megteszek, hogy minél előbb befejezzem. ;
CASE7;D4B.2;main surgeon;Ne aggódjon, tudom, hogyan kell elvégezni a munkámat, és hamarosan befejezzük. ;
CASE7;D4B.3;main surgeon;Így van, tartsuk meg a hangsúlyt. ;
CASE7;D4B.4;main surgeon;Biztos vagyok benne, hogy el tudja végezni a munkáját és életben tarthatja a beteget. ;
CASE7;D5;anaesthesiologist;Nem találom ezt megfelelőnek; Nem hallom a riasztásokat. 
CASE7;D5.1;main surgeon;Miért nem kapcsolja be a monitorok hangerejét? ;
CASE7;D5.2;main surgeon;Ne aggódjon, lehallkítjuk a rádió hangerejét. ;
CASE7;D5.2.1;main surgeon;Kérem, hallkítsa le.;
CASE7;D5.3;main surgeon;Lehet, hogy felhangosítja a hangerőt, hogy jobban hallja.;
CASE7;D5.3.1;Circulating nurse;Van varrógépünk!;
CASE7;D5.4;main surgeon;Semmi gond, nem vettem észre.;
CASE7;D5.4.1;main surgeon;Kérem, kapcsolja ki.;
CASE7;D6;Instrumentalist;Nagyszerű! Kinyithatom a varrógépet?;
CASE7;D6.1;main surgeon;Természetesen.;
CASE7;D6.2;main surgeon;Igen, kérem.;
CASE7;D6.3;main surgeon;Már nagyon várom.;
CASE7;D6.4;main surgeon;Milyen okos ötlet!;
CASE7;D7;main surgeon;Köszönöm, a varrógép most már helyesen van elhelyezve.;
CASE7;D7.1;main surgeon;Gratulálok mindenkinek, sikeresen befejeztünk egy bonyolult műtétet.;
CASE7;D7.2;main surgeon;Végül, nem akarom, hogy ez újra megtörténjen.;
CASE7;D7.3;main surgeon;Szép munka, de legközelebb tanulnunk kellene a hibákból.;
CASE7;D7.4;main surgeon;Nagyszerű, de ez az utolsó alkalom, hogy ezzel a csapattal dolgozom.;
CASE7;END1;NARRADOR;Az eljárás sikeresen befejeződik.;
CASE7;D8;anaesthesiologist;A beteg instabil, 10 percen belül be kell fejeznünk.;
CASE7;D8.1;main surgeon;Rendben. ;
CASE7;D8.2;main surgeon;Tudom, de nem tudok gyorsabban dolgozni, ez olyan nagy nyomás!;
CASE7;D8.3;main surgeon;Az ideges megjegyzéseid nem segítenek a helyzeten.;
CASE7;D8.4;main surgeon;Igaz, sietnünk kell, de nem tart sokáig.;
CASE7;D9;Instrumentalist;Nagyszerű! Hogyan oldjuk meg a problémát? Kinyithatom  a varrógépet?;
CASE7;D9.1;main surgeon;Most már nem tudom használni, túl késő!;
CASE7;D9.1.1;anaesthesiologist;Gyorsan! Meg kell oldanunk ezt!;
CASE7;D9.2;main surgeon;Siessünk, ezt még kontrollálnunk kell, mielőtt a beteg meghal.;
CASE7;D9.3;main surgeon;Ne zavarjon, mindjárt végzek.;
CASE7;D9.4;main surgeon;Igen, amilyen gyorsan csak lehet.;
CASE7;END2;NARRADOR;A beteg meghal;
CASE7;D10;assistant surgeon;Biztos benne? Még sosem láttam, hogy intrakorporális csomót csináltál volna.;
CASE7;D10.1;main surgeon;Nemrég vettem részt egy erről szóló tanfolyamon. De mindenesetre kérje a varrógépet, csak a biztonság kedvéért...;
CASE7;D10.2;main surgeon;Nemrég vettem részt egy tanfolyamon erről.;
CASE7;D10.3;main surgeon;Megkérdőjelezi a képességeimet?;
CASE7;D10.4;main surgeon;Most viccel?;
CASE7;D11A;main surgeon;Komplikációink vannak, szükségünk van egy megerősítő kézi varratra.;
CASE7;Q11A;assistant surgeon;Azt hittem, Önnek több tapasztalata van ebben...;
CASE7;D11A.1;main surgeon;Törődjön a maga dolgával, és hagyjon békében dolgozni.;
CASE7;D11A.2;main surgeon;Ez egy bonyolult beteg, és komplikációk léphetnek fel.;
CASE7;D11A.3;main surgeon;Ez a legjobb, amit ezzel a csapattal tehetek.;
CASE7;D11A.4;main surgeon;Csapatként kell dolgoznunk, hogy úrrá legyünk a helyzeten.;
CASE7;D12A;Instrumentalist;Minden rendben van, nagyszerű csapatmunka.;
CASE7;D12A.0;assistant surgeon;Nos, ez az egész a sebészek munkájáról szól...;
CASE7;D12A.1;main surgeon;A csapatmunka fontos, de a technikai készségek sokkal fontosabbak.;
CASE7;D12A.2;main surgeon;Ez egy csapatmunka, annak ellenére, hogy nem mindenki gondolja ugyanazt...;
CASE7;D12A.3;main surgeon;Ez egyértelműen csapatmunka, különben egy sebész egyedül nem tudná megcsinálni.;
CASE7;D12A.4;main surgeon;Hát persze! Minden rajtam múlik, minden munkát én végzek.;
CASE7;D13A;main surgeon;Végeztem, ellenőrizzük a varratot metilénkékkel.;
CASE7;Q13A;assistant surgeon;Biztos, hogy a megerősítő varrat elegendő?;
CASE7;D13A.1;main surgeon;Köszönöm, hogy aggódtál, de szerintem elég, hiszen jó munkát végeztünk.;
CASE7;D13A.1.1;Instrumentalist;Nagyszerű! Nem szivárog a varrat! Jól van, végeztünk.;
CASE7;D13A.1.2;main surgeon;Összevarrom a bőrt, aztán ébresztheti a beteget.;
CASE7;D13A.2;main surgeon;Természetesen, biztos vagyok benne, hogy kételkedik bennem.;
CASE7;D13A.2.1;assistant surgeon;Nem a kételkedésről van szó, de én csinálnék még egy varratot...;
CASE7;D13A.3;main surgeon;Tudom hogyan végezzem a munkámat.;
CASE7;D13A.3.1;assistant surgeon;Nos, én csak azt mondom, hogy csinálnék még egy varratot...;
CASE7;D13A.3.2;Instrumentalist;Jaj, ne! A varrat szivárog, mert a bélfal elszakadt!;
CASE7;D13A.4;main surgeon;Nem vagyok benne biztos, úgy tűnik, ez rendben van.;
CASE7;D13B.4.1;Instrumentalist;"Jaj, ne! A varrat szivárog, mert a bélfal elszakadt! El kellett volna kérnünk a bélvarrógépet, amikor észrevettük, hogy hiányzik.		";
CASE7;D15.1;anaesthesiologist;Ez rosszul néz ki; elveszítjük a beteget.
CASE7;D15.2;main surgeon;Ezen dolgozom!;
CASE7;D15.3;Instrumentalist;A varrógépet kellett volna kérnünk...;
CASE7;D15.4;assistant surgeon;Igazam volt... Nem tudom, miért csináltad ezt elég tapasztalat nélkül.;
CASE7;D15.1.1;main surgeon;Fogd be a szád és dolgozz!;
CASE7;D15.1.3;main surgeon;Siessünk! Meg kell oldanunk ezt!;
CASE7;D15.2.1;main surgeon;Bárcsak jobb csapatom lenne!;
CASE7;D15.3.1;main surgeon;Ez itt egy iskolai játszótér?;
CASE7;D15.4.1;main surgeon;Kérem, hogy mindenki koncentráljon a munkájára.;
CASE7;D8.1.1;Circulating nurse;Megvan a varrógép.;
CASE7;D9.3.1;main surgeon;Siessünk! Meg kell oldanunk ezt!;
CASE7;D11B;main surgeon;Szövődmény lépett fel, kézzel kell megvarrnunk.;
CASE7;D11B.1;main surgeon;Törődjön a maga dolgával, és hagyjon békében dolgozni.;
CASE7;D11B.2;main surgeon;Ez nem egy egyszerű eset és komplikációk is felléphetnek.;
CASE7;D11B.3;main surgeon;Ez a legtöbb, amit ezzel a csapattal tehetünk.;
CASE7;D11B.4;main surgeon;Csapatként kell dolgoznunk, hogy úrrá legyünk a helyzeten.;
