CASE7;S1A;NARRATOR;Všichni členové operačního týmu jsou na svých místech, hlavní chirurg úspěšně dokončil žaludeční sekci. Nyní je potřeba zahájit jejuno-jenuální anastomozu. Hlavní chirurg požádá o stapler se žlutým nábojem. Instrumentářka i sálová sestra zjistí, že již není žádný k dispozici. ;
CASE7;D1A.1;Surgeon;Dejte mi prosím stapler se žlutým nábojem. ;
CASE7;D1A.2;Instrumentalista;Je mi líto, ale žádný zde již není. ;
CASE7;D1A.3;Sálová sestra;Půjdu zkontrolovat do skladu, jestli nějaký máme. ;
CASE7;D1A.1.1;Hlavní chirurg;Nedá se nic dělat, musíme se s tím vypořádat. ;
CASE7;D1A.1.1.1;Sálová sestra;Je mi to líto, ale žádné už nemáme.  Museli bychom zavolat do nejbližší nemocnice.;
CASE7;D1A.1.2;Hlavní chirurg;Jak se to mohlo stát? Znáte své povinnosti?;
CASE7;D1A.1.3;Hlavní chirurg;Výborně, teď musím řešit další problém. Jako by mi nestačila práce okolo pacienta. ;
CASE7;D1A.1.4;Hlavní chirurg;To je neuvěřitelné! S takovým týmem není možné pracovat!;
CASE7;D1B;Instrumentalista;Nemůžete s námi takto mluvit. I kdyby jste byl stokrát šéfchirurg nedává vám to právo na takové chování.  ;
CASE7;D1B.1;Hlavní chirurg;Dobře, ale to není poprvé co se to stalo. Před začátkem operace si přece musíte ověřit, že je dost materiálu. ;
CASE7;D1B.1.1;Instrumentalista;To je pravda, ale my jsme si bohužel špatně přečetli identifikační číslo. ;
CASE7;D1B.1.2;Sálová sestra;Je mi líto, ale žádný tam není. Pokud chceme nějaký sehnat, budeme muset zavolat do nejbližší nemocnice. ;
CASE7;D1B.2;Hlavní chirurg;Máte pravdu, ztratil jsem nervy, ale tohle není poprvé, co takovou situaci řešíme. Před začátkem operace si musíte být jisti, že je vše potřebné k dispozici. ;
CASE7;D1B.2.1;Instrumentalista;Od teď to vždy budeme prověřovat. ;
CASE7;D1B.3;Hlavní chirurg;To je váš názor ...;
CASE7;D1B.4;Hlavní chirurg;Možná máte pravdu, ale musíte se smířit s tím, že jsem tady šéfem já. ;
CASE7;D1B.4.2;Hlavní chirurg;Okamžitě volejte a sežeňte potřebný náboj co nejdříve. ;
CASE7;D2;Instrumentalista;Co dál? Budeme pokračovat v operaci, nebo bychom měli zavolat do jiné nemocnice ohledně náboje ? ;
CASE7;D2.1;Hlavní chirurg;Budeme pokračovat, použiji fialový náboj. ;
CASE7;D2.2;Hlavní chirurg;Budeme pokračovat laparoskopicky a udělám suturu manuálně. ;
CASE7;D2.3;Hlavní chirurg;Operaci konvertuji na otevřený přístup a suturu udělám manuálně. ;
CASE7;D2.4;Hlavní chirurg;Takto nemůžeme pokračovat, okamžitě volejte a rychle sežeňte potřebné náboje.;
CASE7;D3;Instrumentalista;OK, ale neměli bychom přece jen zkusit zavolat a náboj sehnat ? ;
CASE7;D3.1;Hlavní chirurg;Neslyšel jsi mě? Pokračujeme!;
CASE7;D3.2;Hlavní chirurg;Dobrý postřeh. Prosím, zavolejte a pro jistotu sežeňte náboje, my budeme mezitím pokračovat. ;
CASE7;D3.3;Hlavní chirurg;Proč zpochybňujete mé rozhodnutí? Já jsem tady šéf. ;
CASE7;D3.4;Hlavní chirurg;Proč?;
CASE7;D3.4.1;Instrumentalista;Myslím, že nemáme co ztratit. Pokud se ukáže, že bude skutečně potřeba, budeme ho mít k dispozici. ;
CASE7;D3.4.2;Hlavní chirurg;To zní dobře. Zavolejte tam prosím.;
CASE7;D4A;Anesteziolog;Ztrácíme čas a ohrožujeme tím pacienta. Nemůžeme čekat o mnoho déle. ;
CASE7;D4A.1;Hlavní chirurg;Už jsem se jednou rozhodl a uděláme to přesně takto. Prosím respektujte to a věnujte se pacientovi. ;
CASE7;D4A.1.1;Sálová sestra;Při týmové práci by bylo dobré, kdyby se braly v úvahu všechny názory.;
CASE7;D4A.2;Hlavní chirurg;To je pravda, ale už jsem se rozhodl.;
CASE7;D4A.3;Hlavní chirurg;Jistě, udělám maximum, abych to dokončil co nejdříve.;
CASE7;D4A.4;Hlavní chirurg;Nebojte se, vím, jak dělat svou práci, a brzy skončíme.;
CASE7;D4A.4.1;Anesteziolog;To doufám…;
CASE7;D4B.1;Hlavní chirurg;Jistě, udělám maximum, abych to dokončil co nejdříve.;
CASE7;D4B.2;Hlavní chirurg;Nebojte se, vím, jak dělat svou práci, a brzy skončíme.;
CASE7;D4B.3;Hlavní chirurg;To je pravda, zaměřme se na to.;
CASE7;D4B.4;Hlavní chirurg;Jsem si jistý, že umítě dělat svoji práci a udržíte pacienta naživu. ;
CASE7;D5;Anesteziolog;Nepovažuji to za vhodné; Neslyším alarmy.
CASE7;D5.1;Hlavní chirurg;Proč nezvýšíte hlasitost na monitoru?;
CASE7;D5.2;Hlavní chirurg;Nebojte se, ztlumíme hlasitost rádia;
CASE7;D5.2.1;Hlavní chirurg;Prosím, ztlumte to.;
CASE7;D5.3;Hlavní chirurg;Chcete-li to lépe slyšet, můžete zvýšit hlasitost;
CASE7;D5.3.1;Sálová sestra;Máme náboj!;
CASE7;D5.4;Hlavní chirurg;To je v pořádku, neuvědomil jsem si to.;
CASE7;D5.4.1;Hlavní chirurg;Prosím, vypněte to.;
CASE7;D6;Instrumentalista;Skvělé! Mám otevřít stapler ?;
CASE7;D6.1;Hlavní chirurg;Samozřejmě.;
CASE7;D6.2;Hlavní chirurg;Ano prosím.;
CASE7;D6.3;Hlavní chirurg;Už na to čekám.;
CASE7;D6.4;Hlavní chirurg;Hmm, to je skutečně geniální nápad. ;
CASE7;D7;Hlavní chirurg;Díky, stapler je nyní správně umístěn. ;
CASE7;D7.1;Hlavní chirurg;Děkuji všem za spolupráci na tomto komplikovaném zákroku. ;
CASE7;D7.2;Hlavní chirurg;Konečně, toto už nechci nikdy zažít. ;
CASE7;D7.3;Hlavní chirurg;Dobrá práce, ale příště bychom se mohli poučit z chyb.;
CASE7;D7.4;Hlavní chirurg;Skvělé, ale to je naposledy, co jsem toleroval takový chaos.;
CASE7;END1;NARRATOR;Zákrok končí úspěšně;
CASE7;D8;Anesteziolog;Pacient je nestabilní; musíme skončit do 10 minut.
CASE7;D8.1;Hlavní chirurg;Ok;
